time_start,time_end,model,launch_place,target,carrier,launched,destroyed,not_reach_goal
12/25/2024 5:00,12/25/2024 10:00,Ballistic Missiles,Voronezh oblast,Ukraine,Unknown,2,0,
12/25/2024 5:00,12/25/2024 10:00,Surface-to-Air Missiles (SAM),Belgorod oblast,Ukraine,Unknown,10,0,
12/24/2024,12/24/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
12/24/2024,12/24/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
12/24/2024,12/24/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,3,3,
12/23/2024,12/23/2024,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
12/23/2024,12/23/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
12/20/2024 19:00,12/21/2024 9:00,Surface-to-Air Missiles (SAM),Donetsk oblast,Poltava oblast,Unknown,1,0,
12/21/2024,12/21/2024,Ballistic Missiles,Crimea,Kherson oblast,Unknown,1,0,
12/20/2024 7:00,12/20/2024 9:30,Ballistic Missiles,Bryansk oblast and Voronezh oblast,Kyiv,Unknown,5,5,
12/19/2024 19:00,12/20/2024 9:30,Cruise Missiles,Kursk oblast,Ukraine,Unknown,1,0,
12/19/2024 19:00,12/20/2024 9:30,Ballistic Missiles,Rostov oblast,Ukraine,Unknown,1,0,
12/20/2024,12/20/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
12/20/2024,12/20/2024,Cruise Missiles,Black Sea,Odesa oblast,Unknown,2,0,2
12/20/2024,12/20/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
12/20/2024,12/20/2024,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
12/20/2024,12/20/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,1,1,
12/18/2024 20:00,12/19/2024 8:30,Cruise Missiles,Kursk oblast,Ukraine,Unknown,1,0,
12/18/2024 20:00,12/19/2024 8:30,Ballistic Missiles,Crimea and Rostov oblast,Ukraine,Unknown,2,0,
12/19/2024,12/19/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
12/19/2024,12/19/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
12/19/2024,12/19/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,2,2,
12/18/2024,12/18/2024,Ballistic Missiles,Crimea,Kherson oblast,Unknown,1,0,
12/14/2024 19:00,12/15/2024 8:30,Surface-to-Air Missiles (SAM),Unknown,Ukraine,Unknown,1,0,
12/14/2024,12/14/2024,Reconnaissance UAVs,Unknown,south,Unknown,5,5,
12/14/2024,12/14/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
12/14/2024,12/14/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
12/14/2024,12/14/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,1,1,
12/13/2024 7:00,12/13/2024 10:00,Cruise Missiles,Luhansk oblast,Ukraine,Unknown,1,0,
12/13/2024 7:00,12/13/2024 10:00,Hypersonic Missiles,Tambov oblast,Ukraine,MiG-31K,4,0,
12/13/2024 7:00,12/13/2024 10:00,Cruise Missile Combinations,Volgograd oblast and Black Sea and Voronezh oblast and Rostov oblast,Ukraine,Tu-95MS and Navi,86,80,
12/13/2024 7:00,12/13/2024 10:00,Ballistic Missiles,Bryansk oblast,Ukraine,Unknown,2,1,
12/13/2024,12/13/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
12/11/2024 11:00,12/11/2024 11:00,Cruise Missiles,Sea of Azov,Dnipropetrovsk oblast,Unknown,2,2,
12/10/2024,12/10/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
12/10/2024,12/10/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
12/8/2024 19:30,12/9/2024 8:00,Cruise Missiles,Black Sea,Odesa oblast,Unknown,2,2,
12/6/2024 21:30,12/7/2024 8:30,Unknown Missile,Unknown,Sumy oblast,Unknown,1,0,
12/6/2024,12/6/2024,Ballistic Missiles,Unknown,Kherson oblast,Unknown,3,0,
12/4/2024 20:00,12/5/2024 8:30,Ballistic Missiles,Rostov oblast,Dnipropetrovsk oblast,Unknown,2,0,
12/5/2024,12/5/2024,Cruise Missiles,Unknown,Mykolaiv oblast,Unknown,2,2,
12/3/2024 20:00,12/4/2024 9:00,Cruise Missiles,Kursk oblast,Ukraine,Unknown,1,0,
12/2/2024 20:00,12/3/2024 9:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo,Ukraine,Unknown,28,22,1
12/2/2024 17:00,12/2/2024 20:00,Cruise Missiles,Unknown,Kryvyi Rih,Su-34 and Su-57,3,3,
11/29/2024 21:30,11/30/2024 9:30,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk and Kursk oblast,Ukraine,Unknown,10,8,1
11/29/2024,11/29/2024,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
11/29/2024,11/29/2024,Unknown Missile,Unknown,Mykolaiv oblast,Unknown,1,0,
11/29/2024,11/29/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,4,4,
11/29/2024,11/29/2024,Ballistic Missiles,Unknown,Kherson oblast,Unknown,1,0,
11/28/2024 5:00,11/28/2024 8:30,Cruise Missiles,Black Sea,Ukraine,Unknown,3,3,
11/28/2024 5:00,11/28/2024 8:30,Cruise Missile Combinations,Volgograd oblast and Black Sea,Ukraine,Tu-95MS and Navi,85,76,
11/28/2024 5:00,11/28/2024 8:30,Surface-to-Air Missiles (SAM),Belgorod oblast,Kharkiv oblast,Unknown,3,0,
11/25/2024 19:30,11/26/2024 9:00,Ballistic Missiles,Kursk oblast and Voronezh oblast,Ukraine,Unknown,4,0,
11/26/2024,11/26/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
11/26/2024,11/26/2024,Ballistic Missiles,Unknown,Odesa oblast,Unknown,1,0,
11/25/2024,11/25/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
11/25/2024,11/25/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
11/25/2024,11/25/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
11/25/2024,11/25/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
11/25/2024,11/25/2024,Ballistic Missiles,Unknown,Odesa oblast,Unknown,2,1,
