time_start,time_end,model,launch_place,target,carrier,launched,destroyed,not_reach_goal
10/1/2024,10/1/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/1/2024,10/1/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
10/1/2024,10/1/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
9/29/2024 19:00,9/30/2024 8:00,Cruise Missiles,Zaporizhzhia oblast,Ukraine,Unknown,1,1,
9/29/2024 19:00,9/30/2024 8:00,Cruise Missiles,Black Sea,Ukraine,Unknown,1,0,
9/29/2024 19:00,9/30/2024 8:00,Loitering Munition (Kamikaze Drones),Kursk oblast and Oryol oblast and Yeysk,Ukraine,Unknown,73,67,3
9/29/2024 19:00,9/30/2024 8:00,Ballistic Missiles,Crimea,Ukraine,Unknown,1,0,
9/30/2024,9/30/2024,Ballistic Missiles,Crimea,Kherson oblast,Unknown,2,0,
9/28/2024 7:30,9/28/2024 8:30,Loitering Munition (Kamikaze Drones),Unknown,Sumy oblast,Unknown,3,1,
9/27/2024 19:00,9/28/2024 8:00,Cruise Missiles,Zaporizhzhia oblast,Ukraine,Unknown,2,2,
9/27/2024 19:00,9/28/2024 8:00,Loitering Munition (Kamikaze Drones),"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Oryol oblast",Ukraine,,73,69,3
9/27/2024 19:00,9/28/2024 8:00,Ballistic Missiles,Crimea,Odesa oblast,Unknown,2,0,
9/27/2024 16:00,9/27/2024 16:30,Hypersonic Missiles,Unknown,Starokostiantyniv,4 x MiG-31K,4,0,
9/27/2024,9/27/2024 8:00,Cruise Missiles,Unknown,Snake Island,Tu-22M3,2,0,
9/27/2024,9/27/2024 8:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk,Ukraine,Unknown,32,24,1
9/27/2024,9/27/2024 8:00,Ballistic Missiles,Crimea,south,Unknown,1,0,
9/27/2024,9/27/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
9/26/2024 10:00,9/26/2024 11:00,Hypersonic Missiles,Unknown,Starokostiantyniv,4 x MiG-31K,3,0,
9/26/2024,9/26/2024 8:00,Cruise Missiles,Black Sea,Odesa oblast,Unknown,4,4,
9/26/2024,9/26/2024 8:00,Unknown Missile,Unknown,Sumy oblast,Unknown,2,0,
9/25/2024,9/25/2024 8:00,Cruise Missiles,Black Sea,Odesa oblast,Unknown,4,4,
9/25/2024,9/25/2024 8:00,Unknown Missile,Unknown,Kharkiv oblast,Unknown,3,0,
9/25/2024,9/25/2024 8:00,Surface-to-Air Missiles (SAM),Unknown,Kharkiv oblast,Unknown,1,0,
9/25/2024,9/25/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
9/25/2024,9/25/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
9/25/2024,9/25/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
9/23/2024 20:00,9/24/2024 7:00,Cruise Missiles,Bryansk oblast,Ukraine,Unknown,1,0,
9/23/2024 20:00,9/24/2024 7:00,Unknown Missile,Kursk oblast,Ukraine,Unknown,1,0,
9/23/2024 20:00,9/24/2024 7:00,Ballistic Missiles,Rostov oblast,Ukraine,Unknown,1,0,
9/24/2024,9/24/2024,Reconnaissance UAVs,Unknown,south,Unknown,4,4,
9/24/2024,9/24/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
9/24/2024,9/24/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,11,11,
9/23/2024,9/23/2024 8:00,Cruise Missiles,Unknown,Ukraine,Unknown,2,0,2
9/23/2024,9/23/2024 8:00,Loitering Munition (Kamikaze Drones),Unknown,Sumy oblast,Unknown,4,3,1
9/22/2024,9/22/2024 8:00,Cruise Missiles,Luhansk oblast,east,Unknown,2,0,
9/21/2024,9/21/2024 8:00,Cruise Missiles,Zaporizhzhia oblast,east,Unknown,5,5,
9/21/2024,9/21/2024 8:00,Ballistic Missiles,Crimea and Rostov oblast,Dnipropetrovsk oblast,Unknown,4,0,
9/20/2024,9/20/2024 8:00,Cruise Missiles,Zaporizhzhia oblast,Dnipropetrovsk oblast,Unknown,1,1,
9/20/2024,9/20/2024 8:00,Unknown Missile,Unknown,Donetsk oblast,Unknown,3,0,
9/20/2024,9/20/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
9/20/2024,9/20/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,7,7,
9/20/2024,9/20/2024,Ballistic Missiles,Crimea,Odesa oblast,Unknown,1,0,
9/19/2024,9/19/2024 8:00,Cruise Missiles,Zaporizhzhia oblast,east,Unknown,1,1,
9/19/2024,9/19/2024 8:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk and Kursk oblast,Ukraine,Unknown,42,42,
9/19/2024,9/19/2024 8:00,Surface-to-Air Missiles (SAM),Belgorod oblast,east,Unknown,3,0,
9/19/2024,9/19/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
9/19/2024,9/19/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
9/18/2024,9/18/2024 8:00,Cruise Missiles,Kherson oblast,Mykolaiv oblast,Unknown,3,0,3
9/15/2024 20:00,9/16/2024 6:00,Loitering Munition (Kamikaze Drones),Kursk oblast and Yeysk,Ukraine,Unknown,56,53,3
9/15/2024,9/15/2024 8:00,Cruise Missiles,Zaporizhzhia oblast,Ukraine,Unknown,1,1,
9/15/2024,9/15/2024 8:00,Loitering Munition (Kamikaze Drones),"Chauda, Crimea and Kursk oblast",Ukraine,,14,10,
9/15/2024,9/15/2024 8:00,Reconnaissance UAVs,Unknown,east,Unknown,1,1,
9/15/2024,9/15/2024 8:00,Ballistic Missiles,Crimea,Odesa oblast,Unknown,2,0,
9/14/2024,9/14/2024 8:00,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
9/14/2024,9/14/2024 8:00,Loitering Munition (Kamikaze Drones),"Chauda, Crimea and Kursk oblast and Yeysk",Ukraine,,76,72,2
9/14/2024,9/14/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
9/14/2024,9/14/2024,Unknown UAV,Unknown,south,Unknown,2,2,
9/14/2024,9/14/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
9/13/2024,9/13/2024 8:00,Loitering Munition (Kamikaze Drones),"Primorsko-Akhtarsk and Chauda, Crimea",Ukraine,,26,24,
9/12/2024,9/12/2024 8:00,Cruise Missiles,Black Sea,Snake Island,Tu-22M3,2,0,
9/12/2024,9/12/2024 8:00,Loitering Munition (Kamikaze Drones),"Chauda, Crimea and Kursk oblast and Yeysk",Ukraine,,64,44,4
9/12/2024,9/12/2024 8:00,Ballistic Missiles,Kursk oblast,Chernihiv oblast,Unknown,2,0,
9/12/2024,9/12/2024,Reconnaissance UAVs,Unknown,south,Unknown,4,4,
9/12/2024,9/12/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
9/12/2024,9/12/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,4,4,
9/12/2024,9/12/2024,Ballistic Missiles,Crimea,Odesa oblast,Unknown,1,1,
9/11/2024,9/11/2024 8:00,Cruise Missiles,Bryansk oblast,Chernihiv oblast,Unknown,1,0,
9/11/2024,9/11/2024 8:00,Cruise Missiles,Black Sea,Snake Island,Unknown,6,0,
9/11/2024,9/11/2024 8:00,Ballistic Missiles,Krasnodar Krai,Ukraine,Unknown,1,0,
9/11/2024,9/11/2024 8:00,Surface-to-Air Missiles (SAM),Donetsk oblast,east,Unknown,2,0,
9/10/2024,9/10/2024 8:00,Cruise Missiles,Black Sea,Snake Island,Unknown,1,0,
9/10/2024,9/10/2024 8:00,Loitering Munition (Kamikaze Drones),Kursk oblast and Yeysk,Ukraine,Unknown,46,38,3
9/10/2024,9/10/2024 8:00,Ballistic Missiles,Crimea,Kherson oblast,Unknown,1,0,
9/10/2024,9/10/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
9/10/2024,9/10/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
9/9/2024,9/9/2024 8:00,Cruise Missiles,Kursk oblast and Donetsk oblast,Ukraine,Unknown,3,2,1
9/9/2024,9/9/2024 8:00,Loitering Munition (Kamikaze Drones),Kursk oblast,Ukraine,Unknown,8,6,2
9/9/2024,9/9/2024,Reconnaissance UAVs,Unknown,south,Unknown,4,4,
9/9/2024,9/9/2024,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
9/9/2024,9/9/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,2,2,
9/8/2024,9/8/2024 8:00,Cruise Missiles,Belgorod oblast,Ukraine,Unknown,4,1,3
9/8/2024,9/8/2024 8:00,Loitering Munition (Kamikaze Drones),"Chauda, Crimea and Kursk oblast",Ukraine,,23,15,2
9/7/2024,9/7/2024 8:00,Loitering Munition (Kamikaze Drones),"Chauda, Crimea and Kursk oblast and Yeysk",Ukraine,,67,58,3
9/7/2024,9/7/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
9/7/2024,9/7/2024,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
9/7/2024,9/7/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,2,2,
9/6/2024,9/6/2024 8:00,Cruise Missiles,Unknown,Ukraine,Unknown,1,0,
9/6/2024,9/6/2024 8:00,Cruise Missiles,Bryansk oblast,Ukraine,Unknown,1,0,
9/6/2024,9/6/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
9/6/2024,9/6/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,1,1,
9/5/2024,9/5/2024 8:00,Ballistic Missiles,Crimea,Ukraine,Unknown,1,0,
9/4/2024 5:30,9/4/2024 6:20,Cruise Missiles,Black Sea,"Odesa oblast, Black Sea",Tu-22M3,2,0,2
9/4/2024 5:50,9/4/2024 6:10,Cruise Missiles,Crimea,Kryvyi Rih,Unknown,3,3,
9/4/2024 4:00,9/4/2024 6:00,Cruise Missiles,Volgograd oblast,Ukraine,Tu-95MS,6,4,
9/4/2024 5:40,9/4/2024 5:50,Hypersonic Missiles,Tula oblast,Lviv oblast,MiG-31K,2,0,
9/3/2024,9/3/2024 8:00,Cruise Missiles,Kursk oblast,Ukraine,Unknown,1,0,
9/3/2024,9/3/2024 8:00,Ballistic Missiles,Crimea,Ukraine,Unknown,3,0,
9/2/2024,9/2/2024 8:00,Cruise Missiles,Volgograd oblast,Ukraine,Unknown,14,13,1
9/2/2024,9/2/2024 8:00,Unknown Missile,Belgorod oblast,Ukraine,Unknown,1,0,
9/2/2024,9/2/2024 8:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk,Ukraine,Unknown,23,20,3
9/2/2024,9/2/2024 8:00,Ballistic Missiles,Kursk oblast and Bryansk oblast and Voronezh oblast,Ukraine,Unknown,16,9,
9/2/2024,9/2/2024 8:00,Surface-to-Air Missiles (SAM),Belgorod oblast,Ukraine,Unknown,4,0,
9/2/2024,9/2/2024,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
9/2/2024,9/2/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
9/2/2024,9/2/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,1,1,
9/2/2024,9/2/2024,Ballistic Missiles,Crimea,Mykolaiv oblast,Unknown,1,0,
9/1/2024,9/1/2024 8:00,Loitering Munition (Kamikaze Drones),"Chauda, Crimea",Ukraine,,11,8,
9/1/2024,9/1/2024 8:00,Ballistic Missiles,Kursk oblast,Ukraine,Unknown,1,0,
8/31/2024 11:00,8/31/2024 11:00,Reconnaissance UAVs,Unknown,Kursk oblast,Unknown,1,1,
8/31/2024,8/31/2024 8:00,Ballistic Missiles,Voronezh oblast,Ukraine,Unknown,1,0,
8/31/2024,8/31/2024 8:00,Surface-to-Air Missiles (SAM),Donetsk oblast,Ukraine,Unknown,4,0,
8/31/2024,8/31/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,4,4,
8/30/2024,8/30/2024 8:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk and Kursk oblast,Ukraine,Unknown,18,12,4
8/30/2024,8/30/2024 8:00,Ballistic Missiles,Crimea,Odesa oblast,Unknown,1,0,
8/29/2024,8/29/2024 8:00,Cruise Missiles,Belgorod oblast and Kursk oblast,Ukraine,Unknown,3,2,
8/29/2024,8/29/2024 8:00,Unknown Missile,Belgorod oblast and Kursk oblast,Ukraine,Unknown,2,0,
8/29/2024,8/29/2024 8:00,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/29/2024,8/29/2024 8:00,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/29/2024,8/29/2024 8:00,Ballistic Missiles,Crimea,Odesa oblast,Unknown,1,0,
8/29/2024,8/29/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/28/2024,8/28/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/28/2024,8/28/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,2,2,
8/27/2024,8/27/2024 9:00,Hypersonic Missiles,Lipetsk oblast,Ukraine,MIG-31K,3,0,
8/27/2024,8/27/2024 9:00,Cruise Missiles,Volgograd oblast,Ukraine,Tu-95MS,5,5,
8/27/2024,8/27/2024 9:00,Ballistic Missiles,Crimea,Ukraine,Unknown,1,0,
8/27/2024,8/27/2024 9:00,Cruise Missiles,Voronezh oblast,Ukraine,Unknown,1,0,
8/26/2024 3:00,8/26/2024 18:00,Hypersonic Missiles,Ryazan oblast and Lipetsk oblast,Ukraine,Unknown,3,1,
8/26/2024 3:00,8/26/2024 18:00,Cruise Missiles,Voronezh oblast,Ukraine,Unknown,3,1,
8/26/2024 3:00,8/26/2024 18:00,Cruise Missile Combinations,Unknown,Ukraine,Unknown,115,99,
8/26/2024 3:00,8/26/2024 18:00,Loitering Munition (Kamikaze Drones),"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Yeysk",Ukraine,,109,99,
8/26/2024 3:00,8/26/2024 18:00,Ballistic Missiles,Kursk oblast and Voronezh oblast,Ukraine,Unknown,6,1,
8/25/2024,8/25/2024 8:00,Cruise Missiles,Belgorod oblast and Kursk oblast,Ukraine,Unknown,6,0,
8/25/2024,8/25/2024 8:00,Loitering Munition (Kamikaze Drones),"Chauda, Crimea",Mykolaiv oblast,,9,8,
8/25/2024,8/25/2024 8:00,Ballistic Missiles,Voronezh oblast and Rostov oblast,Ukraine,Unknown,2,0,
8/24/2024,8/24/2024 8:00,Cruise Missiles,Unknown,Snake Island,Tu-22M3,4,0,
8/24/2024,8/24/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/23/2024,8/23/2024 8:00,Loitering Munition (Kamikaze Drones),Kursk oblast and Yeysk,Ukraine,Unknown,16,14,2
8/23/2024,8/23/2024 8:00,Ballistic Missiles,Voronezh oblast,Ukraine,Unknown,2,0,
8/23/2024,8/23/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
8/23/2024,8/23/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/23/2024,8/23/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/23/2024,8/23/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/23/2024,8/23/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,2,2,
8/22/2024,8/22/2024 11:15,Cruise Missiles,Black Sea,Odesa oblast,Unknown,2,0,
8/22/2024,8/22/2024 11:15,Loitering Munition (Kamikaze Drones),Kursk oblast,Kharkiv oblast,Unknown,10,2,2
8/22/2024,8/22/2024 11:15,Ballistic Missiles,Belgorod oblast,Ukraine,Unknown,1,0,
8/22/2024,8/22/2024 11:15,Ballistic Missiles,Crimea,Mykolaiv oblast,Unknown,1,0,
8/21/2024,8/21/2024 11:15,Cruise Missiles,Kursk oblast,Ukraine,Unknown,1,1,
8/21/2024,8/21/2024 11:15,Ballistic Missiles,Voronezh oblast,Ukraine,Unknown,2,0,
8/21/2024,8/21/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/21/2024,8/21/2024,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
8/20/2024,8/20/2024 8:00,Cruise Missiles,Kursk oblast and Zaporizhzhia oblast,Ukraine,Unknown,2,2,
8/20/2024,8/20/2024 8:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk and Kursk oblast and Yeysk,Ukraine,Unknown,26,25,
8/20/2024,8/20/2024 8:00,Ballistic Missiles,Voronezh oblast,Ukraine,Unknown,2,0,
8/20/2024,8/20/2024 8:00,Cruise Missiles,Bryansk oblast,Ukraine,Unknown,1,1,
8/20/2024,8/20/2024,Reconnaissance UAVs,Unknown,south,Unknown,4,4,
8/19/2024,8/19/2024 8:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk and Kursk oblast,Ukraine,Unknown,11,11,
8/19/2024,8/19/2024,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
8/19/2024,8/19/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,2,2,
8/18/2024,8/18/2024 8:00,Cruise Missiles,Kursk oblast and Voronezh oblast,Ukraine,Unknown,2,0,2
8/18/2024,8/18/2024 8:00,Unknown Missile,Kursk oblast and Voronezh oblast,Ukraine,Unknown,3,3,
8/18/2024,8/18/2024 8:00,Loitering Munition (Kamikaze Drones),Kursk oblast,Ukraine,Unknown,8,8,
8/18/2024,8/18/2024 8:00,Ballistic Missiles,Kursk oblast and Voronezh oblast,Ukraine,Unknown,2,2,
8/18/2024,8/18/2024 8:00,Ballistic Missiles,Kursk oblast and Voronezh oblast,Ukraine,Unknown,1,0,1
8/18/2024,8/18/2024,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
8/18/2024,8/18/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
8/18/2024,8/18/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/17/2024,8/17/2024 8:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk and Kursk oblast and Yeysk,Ukraine,Unknown,14,14,
8/17/2024,8/17/2024 8:00,Cruise Missiles,Voronezh oblast,Sumy,Unknown,1,0,
8/16/2024,8/16/2024 8:00,Unknown UAV,Kursk oblast,Ukraine,Unknown,2,2,
8/16/2024,8/16/2024 8:00,Loitering Munition (Kamikaze Drones),Kursk oblast,Ukraine,Unknown,3,3,
8/16/2024,8/16/2024 8:00,Ballistic Missiles,Unknown,Ukraine,Unknown,3,0,
8/16/2024,8/16/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
8/16/2024,8/16/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/16/2024,8/16/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,1,1,
8/15/2024,8/15/2024 8:00,Cruise Missiles,Kursk oblast,Ukraine,Unknown,3,0,
8/15/2024,8/15/2024 8:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk and Kursk oblast and Yeysk,Ukraine,Unknown,29,29,
8/15/2024,8/15/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/15/2024,8/15/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/15/2024,8/15/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,4,4,
8/14/2024,8/14/2024 8:00,Cruise Missiles,Belgorod oblast,Ukraine,Unknown,2,0,
8/14/2024,8/14/2024 8:00,Loitering Munition (Kamikaze Drones),"Chauda, Crimea and Kursk oblast and Yeysk",Ukraine,,23,17,
8/14/2024,8/14/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/14/2024,8/14/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
8/14/2024,8/14/2024,Ballistic Missiles,Crimea,Odesa oblast,Unknown,1,0,
8/13/2024,8/13/2024 8:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk and Kursk oblast,Ukraine,Unknown,38,30,
8/13/2024,8/13/2024 8:00,Ballistic Missiles,Voronezh oblast,Ukraine,Unknown,2,0,
8/12/2024,8/12/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/12/2024,8/12/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
8/11/2024,8/11/2024 8:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk and Kursk oblast and Yeysk,Ukraine,Unknown,57,53,
8/11/2024,8/11/2024 8:00,Ballistic Missiles,Voronezh oblast,Ukraine,Unknown,4,0,
8/11/2024,8/11/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/11/2024,8/11/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,4,4,
8/11/2024,8/11/2024,Ballistic Missiles,Unknown,Odesa oblast,Unknown,1,0,
8/11/2024,8/11/2024,Ballistic Missiles,Unknown,Mykolaiv oblast,Unknown,1,0,
8/10/2024,8/10/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/9/2024,8/9/2024 8:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk,Ukraine,Unknown,27,27,
8/9/2024,8/9/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
8/8/2024,8/8/2024 8:00,Cruise Missiles,Sea of Azov,south,Unknown,2,2,
8/8/2024,8/8/2024 8:00,Loitering Munition (Kamikaze Drones),Yeysk,Ukraine,Unknown,4,4,
8/8/2024,8/8/2024 8:00,Ballistic Missiles,Belgorod oblast,Kharkiv oblast,Unknown,2,0,
8/8/2024,8/8/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/8/2024,8/8/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/7/2024,8/7/2024 8:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk and Yeysk,Ukraine,Unknown,30,30,
8/7/2024,8/7/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
8/7/2024,8/7/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/6/2024,8/6/2024 8:00,Cruise Missiles,Sea of Azov,Ukraine,Unknown,2,2,
8/6/2024,8/6/2024 8:00,Loitering Munition (Kamikaze Drones),"Chauda, Crimea and Kursk oblast",Ukraine,,16,15,
8/6/2024,8/6/2024 8:00,Ballistic Missiles,Voronezh oblast,Kyiv oblast,Unknown,4,2,
8/6/2024,8/6/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/5/2024,8/5/2024 8:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk and Kursk oblast,Ukraine,Unknown,24,24,
8/5/2024,8/5/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/5/2024,8/5/2024,Cruise Missiles,Unknown,Mykolaiv oblast,Unknown,1,0,1
8/5/2024,8/5/2024,Cruise Missiles,Unknown,Kherson oblast,Unknown,1,0,1
8/5/2024,8/5/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/5/2024,8/5/2024,Ballistic Missiles,Crimea,Mykolaiv oblast,Unknown,2,0,
8/4/2024,8/4/2024 8:00,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/4/2024,8/4/2024 8:00,Cruise Missiles,Kursk oblast,Poltava oblast,Unknown,2,0,
8/4/2024,8/4/2024 8:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk,Ukraine,Unknown,5,5,
8/4/2024,8/4/2024 8:00,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,2,2,
8/4/2024,8/4/2024 8:00,Surface-to-Air Missiles (SAM),Unknown,Kharkiv oblast,Unknown,2,0,
8/3/2024,8/3/2024 8:00,Cruise Missiles,Black Sea,Odesa oblast,Unknown,2,0,
8/3/2024,8/3/2024 8:00,Loitering Munition (Kamikaze Drones),"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast",Ukraine,,29,24,
8/3/2024,8/3/2024 8:00,Surface-to-Air Missiles (SAM),Donetsk oblast,east,Unknown,2,0,
8/3/2024,8/3/2024,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
8/3/2024,8/3/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
8/2/2024,8/2/2024 8:00,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,1,1,
8/2/2024,8/2/2024,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
8/2/2024,8/2/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/2/2024,8/2/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
8/2/2024,8/2/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/2/2024,8/2/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
8/2/2024,8/2/2024,Ballistic Missiles,Crimea,Odesa oblast,Unknown,3,0,
8/1/2024,8/1/2024 8:00,Loitering Munition (Kamikaze Drones),"Chauda, Crimea and Voronezh oblast",Ukraine,,7,7,
8/1/2024,8/1/2024 8:00,Ballistic Missiles,Crimea,Mykolaiv oblast,Unknown,1,0,
8/1/2024,8/1/2024 8:00,Ballistic Missiles,Voronezh oblast,east,Unknown,1,0,
8/1/2024,8/1/2024,Unknown UAV,Unknown,east,Unknown,4,4,
8/1/2024,8/1/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
8/1/2024,8/1/2024,Reconnaissance UAVs,Unknown,east,Unknown,1,1,
8/1/2024,8/1/2024,Loitering Munition (Kamikaze Drones),Unknown,south,Unknown,3,3,
7/31/2024,7/31/2024 8:00,Cruise Missiles,Kherson oblast,Mykolaiv oblast,Unknown,1,1,
7/31/2024,7/31/2024 8:00,Loitering Munition (Kamikaze Drones),"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast, Seshcha and Yeysk",Kyiv oblast,,89,89,
7/31/2024,7/31/2024,Reconnaissance UAVs,Unknown,south,Unknown,5,5,
7/31/2024,7/31/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
7/29/2024,7/29/2024 8:00,Cruise Missiles,Donetsk oblast,Ukraine,Unknown,1,1,
7/29/2024,7/29/2024 8:00,Loitering Munition (Kamikaze Drones),"Chauda, Crimea",Ukraine,,10,9,
7/29/2024,7/29/2024,Reconnaissance UAVs,Unknown,south,Unknown,3,3,
7/29/2024,7/29/2024,Reconnaissance UAVs,Unknown,east,Unknown,1,1,
7/29/2024,7/29/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
7/29/2024,7/29/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
7/29/2024,7/29/2024,Reconnaissance UAVs,Unknown,east,Unknown,1,1,
7/28/2024,7/28/2024 8:00,Cruise Missiles,Unknown,Ukraine,Unknown,1,1,
7/28/2024,7/28/2024 8:00,Loitering Munition (Kamikaze Drones),"Chauda, Crimea",Odesa oblast,,8,7,
7/28/2024,7/28/2024 8:00,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
7/28/2024,7/28/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
7/28/2024,7/28/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
7/28/2024,7/28/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
7/27/2024,7/27/2024 8:00,Cruise Missiles,Zaporizhzhia oblast,Ukraine,Unknown,1,1,
7/27/2024,7/27/2024 8:00,Loitering Munition (Kamikaze Drones),Primorsko-Akhtarsk,Ukraine,Unknown,4,4,
7/27/2024,7/27/2024,Cruise Missiles,Unknown,south,Unknown,1,1,
7/27/2024,7/27/2024,Reconnaissance UAVs,Unknown,south,Unknown,1,1,
7/27/2024,7/27/2024,Reconnaissance UAVs,Unknown,south,Unknown,2,2,
7/26/2024,7/26/2024 8:00,Loitering Munition (Kamikaze Drones),"Chauda, Crimea and Kursk oblast",Ukraine,,22,20,
